               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033004,            0.067478,           0.0075868,             0.46403,             0.53969,             0.41206,              0.2731,            0.034982,            0.081142,            0.024107,            0.006436,            0.006436,            0.006436
                  38,            0.032453,            0.067217,           0.0071624,             0.49879,             0.56768,             0.42211,             0.28087,            0.035861,            0.083777,            0.024243,            0.006337,            0.006337,            0.006337
                  39,             0.03225,            0.068011,           0.0070811,             0.48906,             0.56875,             0.41963,             0.28297,            0.034987,            0.089535,            0.025208,            0.006238,            0.006238,            0.006238
                  40,            0.031971,            0.067284,           0.0069961,             0.50209,             0.56703,             0.41709,             0.28067,            0.034706,            0.087156,            0.024979,            0.006139,            0.006139,            0.006139
                  41,            0.031892,            0.067386,           0.0068132,             0.47849,             0.59569,             0.42786,             0.28931,            0.034123,            0.081254,            0.024805,             0.00604,             0.00604,             0.00604
                  42,             0.03199,            0.067641,           0.0069079,             0.47351,             0.54971,             0.41837,              0.2833,            0.034281,            0.082064,            0.026567,            0.005941,            0.005941,            0.005941
                  43,            0.032014,            0.066649,           0.0068514,             0.48464,             0.52165,             0.40361,             0.27887,             0.03433,            0.089376,            0.027934,            0.005842,            0.005842,            0.005842
                  44,             0.03207,            0.067166,           0.0067316,             0.51591,             0.53729,             0.42439,             0.28964,            0.035082,              0.0906,            0.026273,            0.005743,            0.005743,            0.005743
                  45,            0.031905,            0.066338,           0.0063593,             0.50339,             0.60375,             0.43963,             0.30038,            0.034188,            0.082211,            0.024865,            0.005644,            0.005644,            0.005644
                  46,            0.031641,            0.067173,           0.0065134,             0.49845,             0.59197,             0.41855,             0.28877,            0.034879,            0.092565,            0.027077,            0.005545,            0.005545,            0.005545
                  47,            0.031442,            0.066693,           0.0064638,             0.51741,             0.60642,             0.44069,             0.30184,            0.033897,            0.080971,            0.024164,            0.005446,            0.005446,            0.005446
                  48,            0.031568,            0.066486,           0.0062777,             0.47818,             0.57658,             0.42494,             0.29012,            0.034471,            0.085362,            0.026907,            0.005347,            0.005347,            0.005347
